song,lyrics,year
Killa, Karanlık çökünce güne hazırlan hazır ol hazırda tut kendini biz zincirleri kırarız Ensene bineriz birden şimşek gibi ineriz şaşarsın sıkarız Evet zaman gelir olur ellerimizi kanınla yıkarız arsızca merte mert doğruya dürüstüz yanlışa insafsızca Gece ateşi yak etrafında otur sohbeti dinle geceye kimle o gece kimle avlanmaya çıkılacak karar Kara gözlü psikopatlar arar bak bu tayfa gerçek korkma seni bir kaç günlük rapçi lokma Çokbilmiş gibi konuş usta gelirse Suratında iz bırakır susta Saklıcak bir şey yok içindeki canavarı rahat bırak artık ortama çakılsın barışma Aftik bu saatten sonra istediği ici takılsın karışma Yakılsın tüm hasretler dostluklar sevgiler aksın kanın Denizde çıkarılmış balık gibi ciprin dönüp bakan piç olsun cehenneme canın Yanar ciğerin kanar kanar tüm ortam âlem bir kötü haber duydu mu delirir fıttırır benim mahallem Bir gözümü paradier Aslan diğer gözümüzde canlı Gömerler adamı toprak altına hem de canlı canlı Yok etmek benim görevim Killaaaaa Hep sabırla bekledim seçtim gördüğüm yanlışlara kardeştir diye es geçtim Baktım piç olmuş âlem bunu kafaya taktım Karanlıkta takıldım takip ettim canımı istediler geçerken başkaldırdım dedim çete Diren otuz altıda her gece tuhaf sesler geliyor bazen karanlıkta yakından ya da öteden En kral delikanlıyım diyeni susturup göt eden sesler var ya bak Bembeyaz olur susarsın bir yumrukta kan kusarsın hırlar Midene yedin mi yumruğu götünden oklava gibi bok çıkar fırlar yeah Rap yapıyorum diyorsun çok ben rapçiyim diyorsun ustayım çok Ama geçmişten bugüne bakıyorum araştırıyorum bir numaran neticen yok Tuzluyum da kokmasın amcık kendini rapci sanan kancık parlamış Kendine benzer bir ton piçkuruları toplayıp tasarlamış Rap söker söker Killa dişlerini döker aslan Hiç ummadığın anda gidersin kafana rastgelen taslan hadi haslan İyice yanıp da kavrul sürünüp ve de ezil Eşini dostunu satan rezil Yok etmek benim görevim Killlaaaa Kelepçeler ve de prangalar demir teller kapılar Kırılır yıkılır direnirsen karşında en kral yapılar dökülür çöker Sokak arası sek sek kurşunları şarjöre tek tek tak nisan al bak hedefi gözünden at Vur bak bu Toprak altında kuzu Soğukta donarsın kıştan hep kolay görünür dıştan darbe bir kıvılcım yeter yürürüz Topluca gideriz gireriz hep beraber harbe Baskın baskın bu harbi gerçek thug life crew Harbi otuz altı hardcore crew Killa Hakan harbi hardcore true Yok etmek benim görevim ,1920
Desde Cero," Hay momentos para todo Pero nunca todos van a estar ahí en cualquier momento Si tan sólo esperas a qué las cosas suceden tan sólo sucede el tiempo He perdido más por no hacer nada que mirando como se pierde el tiempo Me he sentido bien porque me miento Y ya ves que las cosas no son siempre como las pintamos Yo puedo morir de frío y afuera es verano Te juro, te engaño, te dejo y te extraño Te quiero y te hago daño sin razón Mejor desde cero Que decir desde nunca ¿Y cómo darte el cielo Si nunca pisé la luna? ¿Y cómo soy sincero si nadie me pregunta? Si me ves separado es porque todo se me junta Se me junta tu mirada con la mía Se me junta el honestidad y la hipocresía Se me junta cada rostro de ignorancia Que yo intento hacer parecer sabiduría Se me juntan los recuerdos de tus besos Esos que ya pertenecen al pasado Y te extraño cada noche, lo confieso Aunque juré que no estoy enamorado Quiero ver el modo antes que mi miedo Quiero verme sólo pa' ver si puedo El precio de los mejores momentos Siempre ha sido tener que echarlos de menos Me acero a tu llama y hoy me congelo Y entre mis mitades ¿quién es el bueno? Y nunca tuve el coraje suficiente Pa' decir yo voy a me quedo Mejor desde cero Que decir desde nunca ¿Y cómo darte el cielo Si nunca pisé la luna? ¿Y cómo soy sincero si nadie me pregunta? Si me ves separado es porque todo se me junta Sí no entré la razón antes de entrar en tí Lo tenía todo pa' no ser feliz Y nunca me dio por vivir la vida pero sí fingía Porque sonreí cuándo dijé yo puedo en vez de por fin Cambié el hazer por el hacer por mí Rompí el camino pa' poder seguir Mejor desde cero Que decir desde nunca ¿Y cómo darte el cielo Si nunca pisé la luna? ¿Y cómo soy sincero si nadie me pregunta? Si me ves separado es porque todo se me junta ",1920
Undercovers, ,1920
Tard la Nuit,,1920
Oh Maurice," There is nothing doing at night! That's silly! What can I write? How I wish that you could be here! That's stupid! Can't think! Oh, dear! I wish someone could help me! Writing always makes me nervous! If Mademoiselle forgives me- I am at her service! Oh! Oh-I'm sorry! Allow me! It's such a stupid letter! I'll be indebted if you let me help you Oh, no! I'd be the debtor! What can I write? It's so hard for me. Night after night Is dull as can be. L'm writing to a girlfriend, My little Marie! Let me see! Let me see! Why don't you write this As I dictate it. I have met the one man, my dear! Who is it? On a visit here! I am so excited tonight! Excited? And delighted! Dear! He is so distinguished and sweet, Very debonair yet discreet! He's the height of fashion! My passion's at fever heat! He's so modest all of the while, Oh, very! With a merry smile. He is made of iron. He's tall. Gigantic! With romantic style! He's a Julius Caesar in mind With Apollo's beauty combined. So, my little friend, you see He's the very man for me! I'll sign my name! It' s easy to see This little note Is sweet as can be. It's sure to please your Girlfriend, your Little Marie! Now read it for me, Read it for me! I have met a foolish young man Who is it? On a visit here! I'll get rid of him if I can. I'm choking. I'm not joking, dear. He is undistinguished and plain! Very unattractive yet vain! And he needs a shaking! I'm taking The first fast train! All he does is grin like a mule! I'm frowning. He's a clowning fool! He could never learn how to love! I'll grow to- He should go to school! He's a simple Simon in mind. To describe his looks is unkind. So, my little friend, you see He is not the man for me. ",1920
Nugget," Chicken Nugget, biscuit, nugget in a biscuit Nugget, biscuit, nugget in a biscuit Nugget, biscuit, nugget in a biscuit Dip it all in mashed potatoes! Nugget, biscuit, nugget in a biscuit Nugget, biscuit, nugget in a biscuit Nugget, biscuit, nugget in a biscuit Dip it all in mashed potatoes! Dip it all in mashed potatoes Then dip the mashed potato gob of chicken nugget biscuit in the BBQ sauce MMM! Yum, yum, gimme! Nugget, biscuit, nugget in a biscuit Nugget, biscuit, nugget in a biscuit Nugget, biscuit, nugget in a biscuit Dip it all in mashed potatoes! Nugget, biscuit, nugget in a biscuit Nugget, biscuit, nugget in a biscuit Nugget, biscuit, nugget in a biscuit Dip it all in mashed potatoes! Dip it all in mashed potatoes Then dip the mashed potato gob of chicken nugget biscuit in the BBQ sauce MMM! Yum, yum, gimme! ",1920
Wock(y)," Time waste again and again I lay in a grave with all of my sins Feel like all of my friends going straight to hell Ain't no cage around my soul Live fast while the money gettin' real old Feel like I have no friends, only have myself Oh-woah-woah, oh I fell in love with a party girl Lil' Molly pill take you to another world Can't name all the drugs inside her system Pullin' on your heart strings, but I wouldn't try to twist 'em Momma shed a lot of tears, keep a lot of pistols Can you show me where the door? Now it's gettin' hard to get lost Mixin' all the drugs when you servin' my cup But fuck that, I'ma meet with breakups-ups, oh-oh So they won't ever leave my side I'd rather let my senses stick to me for now Time waste again and again I live in a grave with all of my sins Feel like all of my friends going straight to hell Ain't no cage around my soul Live fast while the money gettin' real old Feel like I have no friends, only have myself Oh-woah-woah, oh What a toxic love we had I can't shake my broken past Drugs run around in my mind, cloudin' all in my business Saved my life, came right on time Better than the wocky slush that we sippin' Time wasted, it keep on wastin' Try and you try but you'll never replace it Time waste again and again I live in a grave with all of my sins Feel like all of my friends going straight to hell Ain't no cage around my soul Live fast while the money gettin' real old Feel like I have no friends, only have myself Oh-woah-woah, oh Feel like I have no friends, only have myself ",1920
Head Off," Aight, motherfuckers Bitch niggas run and hide! (Ha, Yeah) I'm doing this for my niggas! (NIGGA!) C'mon, C'mon C'mon, C'mon Lil' Jon, C'mon, C'mon M.O.P MOTHERFUCKERS! Lil' Jon, Eastside Boyz Bitch! (My Nigga!) You send em will bend em (My Nigga!) You Call em will sprawl em (My Nigga!) You cut em will bust em (My Nigga!) Take them niggas heads off! All day nigga, Broadway Your man Bill Danze back on the highway 9-5 way, do or die way Since were all gangstaed up we gonna do it my way Homicide way, grown wit a metal fist (BK!) Home of the chrome deader list (Oh Yeah!) Willie Dynamite drop bombs Now who wanna conflict wit the conflict We don't give a fuck you actin like a bitch motherfucker! Get some nuts and be a man motherfucker! Pussy ass niggas get fucked motherfucker! And you's a chicken nigga gettin plucked motherfucker! Droppin dimes snitchin on your whole (was sup) Eastside Cause nigga you soft like macaroni! You don't wanna see a nigga pull the nine! Cause you did the crime, now it's payback time! You's a check one, two turn my mic up nigga I'm a semi-automatic load the pipe up nigga B-Ville crime boss, I'll knock your top off Get ya moms, it be a hell of a story for John Walsh BIA BIATCH! Look nigga look into to this What a ridiculous, conspicuous, son of a bitchuous Lil Fame's a rude bastard; I left my manners at home You fucked up when you left your hammers at home We gonna kick in the door and get buck my nigga Slice your ass up like a piece of meat my nigga Ride ya 'round the town in the fuckin trunk my nigga 'Fore we dump your bitch ass in the creek my nigga Or we might duck tape your ass to the toilet nigga Then turn the iron on high and burn it nigga Die at da door and your ass probably highly fryin nigga And your tombstone will read, ""Here lies a bitch nigga"" Ride or die nigga, first fam Me and mind niggas, will still stand I come thru this BITCH, with two CLIPS Full of blue TIPS to show them who I am Stop doin sucka shit, watch who you fuckin wit Still put it down in the town on some other shit (Not that undercover shit), that's not me I bring grips and raise hell for M.O.P What the fuck (fuck) y'all (y'all) niggas (huh) want with Famster (Famster!) Gangster (Gangster!) We can send your whole platoon Behind these men loom Fame & Bill Danze, Siamese twins Who probably wanna be like (boy) M.O.P (twins) and Lil' Jon & The Eastside Boyz Go ahead lie nigga, hope you try nigga But you gonna die nigga, fuckin wit live niggas MY NIGGA! We bout to shut this motherfucker down real quick! I got my motherfucking Brownsville niggas wit me! New York in this bitch, ATL in this motherfucker! Dirty South let's ride on it! There they go my nigga let's get em! There they go my nigga let's get em! If you thought shit was over my nigga we never sleep! If you thought shit was over my nigga we never sleep! We gonna sneak a motherfucker like niggas on the creep! We gonna sneak a motherfucker like niggas on the creep! Like that goddammit y'all niggas get got! Like that goddammit y'all niggas get got! We gonna break a nigga down like keys on the block! We gonna break a nigga down like keys on the block! My God ",1920
Radar," Confidence is a must Cockiness is a plus Edginess is a rush Edges (I like 'em rough) A man with a Midas touch Intoxicate me, I'm a lush Stop you're making me blush People are looking at us I don't think you know (know) I'm checking it so hot (so hot) I Wonder if he knows he's on my radar (on my radar) on my radar (on my radar) And if I notice you I know it's you. Choose you don't wanna lose you're on my radar (on my radar) on my radar (on my radar) When you walk (when you walk) and when you talk (when you talk) I get the tingle, I wanna mingle, that's what I want (that's what I want) Hey, listen, baby, turn up the fader.. try to make you understand you're on my radar (on my radar) on my radar (on my radar) On my radar (got you on my) radar (got you on my) radar (got you on my) RADAR Interesting sense of style Ten million dollar smile Think I cant handle that Animal in the sack His eyes see right to my soul I surrender self-control Catch me looking again Falling right into my plan.. I don't think you know (know) I'm checking it so hot (so hot) Wonder if he knows he's on my radar (on my radar) on my radar (on my radar) And if I notice you I know it's you Choose you don't wanna lose you're on my radar (on my radar) on my radar (on my radar) When you walk (when you walk) and when you talk (when you talk) I get the tingle, I wanna mingle, that's what I want (that's what I want) Hey, listen, baby, turn up the fader.. try to make you understand you're on my radar (on my radar) on my radar (on my radar) on my radar (got you on my) radar (got you on my) radar (got you on my) RADAR on my radar (got you on my) radar (got you on my) radar (got you on my) RADAR I got my eye on you... and I cant let you get away... Hey baby whether it's now or later (I've got you) you cant shake me (no) cause I got you on my radar Whether you like it or not, it ain't gonna stop cause I got you on my radar (I've got you) cause I got you on my radar I'm checking it so hot (so hot) Wonder if he knows he's on my radar (on my radar) on my radar (on my radar) And if I notice you I know it's you. Choose you don't wanna lose you're on my radar (on my radar) on my radar (on my radar) When you walk (when you walk) and when you talk (when you talk) I get the tingle, I wanna mingle, that's what I want (that's what I want) Hey, listen, baby, turn up the fader... try to make you understand you're on my radar (on my radar) on my radar (on my radar) on my radar (got you on my) radar (got you on my) radar (got you on my) RADAR on my radar (got you on my) radar (got you on my) radar (got you on my) RADAR Da-da-da-da-da-da-dadadadadadada... da da da. Da-da-da-da-da-da-dadadadadadada... da da da da da da da ",1920
Four, Think I'll go out to Alberta Weather's good there in the fall I got some friends that I could go working for Still I wish you'd change your mind if I asked you one more time But we've been through this a hundred times or more Four strong winds that blow lonely Seven seas that run high All those things that don't change Come what may If the good times are all gone The I'm bound for moving on I'll look for you if I'm ever back this way If I get there before the snow flies and if things are looking good You could meet me if I send you down the fare But by then it would be winter Not too much for you to do And those winds sure can get cold way out there The good times are all gone So I'm bound for moving on I'll look for you if I'm ever back this way Still I wish you'd change your mind If I asked you one more time But we've been through that a hundred times or more ,1920
Comme à l'époque," On va faire les billets-ets Ça y est, j'ai cassé les portes, là j'vais rapper comme à l'époque Pour leur montrer à ces comiques, le game j'l'envoie dans les cordes Là j'suis en direct du quartier, qu'il fasse beau ou qu'il pleuve des cordes Un jour tu calcules, l'autre t'es bizarre, m'parles plus ou j't'encule, d'accord? Maintenant les jaloux trainent avec nous, les balances marchent normal dans la rue Les traitres se font discrets, les schmits vont tout l'temps dans l'abus Que tu sois d'une banlieue, du centre ou même de la ZUP Que tu sois jeune, qu'tu fumes la zeub' S'tu m'cherches j'suis dans la zone Insalubre, hein salope Tu m'ignores, hein salope Tu as oublié, hein salope Tu as oublié, hein salope Mes lunettes, c'est Cartier Mon parfum, c'est Cartier Mon flow, mes textes, ma force, c'est le quartier J'suis parti, j'suis rev'nu C'est pas avoir peur, c'est être intelligent Force à mes détenus qui sont rentrés pour des délits grandioses Qui s'battent pour une grande cause Gros est l'enjeu, toi t'es là tu m'lève la parole et tout ça pour pas grand choses Mais c'pas grave, moi j'avance Et où j'suis fou j'vois qu'tu recules Tu disais qu't'irais plus au quartier Mais à chaque fois qu'j'te vois la-bas tu racontes tes histoires, tu t'prends pour Hercule Et tu crois p't'être que tu peux m'niquer parc'que j'ai l'air cool Et tu m'dis qu'y a rien mais t'es chelou P't'être que sans l'vouloir au fond t'es jaloux Et cette vie m'fait mal comme une balle dans l'dos Quillé, j'ai du shit dans l'doigt, à 5 du mat' j'ai les dents gros Moi j'ai souffert, j'ai fais c'que t'as pas su faire J'sais qu'dans l'game ça ce-su fort parc'que ça sait qu'j'sais tout faire Étouffant, j'fais des gros trajets ça ouvre pas les vitres J'dis à mon poto d'aller doucement car tout peux aller vite Allez clique-clique, envieux même moi la bute Tu t'ressens comme quand j'te dis qu't'es déjà aller voler avec ce pote qui a la guigne Mets FIFA, j'prends la gagne, j'prends l'OM, carré-croix But de Cabella, au quartier quand c'est endormi j'freestyle a cappella Il en faut pour m'énerver, j'suis très sage Gros dégun t'es là tu m'parles d'armes par messages Si j'avais su j'aurais pas rapper pour pas qu'des gens m'haissent J'aurais aimé être discret comme c't'agriculteur dans son champ d'maïs Oh hisse, enculé j'aime pas les égoïstes Moi j'aurais jamais fait la guerre de Troie pour un cul comme Pâris Alléluia l'poto a de la beuh dans sa valise J'sais pas s'tu réalise, mais maintenant ce mec Ils suivent ce mec, parc'que sous sa caisse il y a placé une balise Vie de fou c'que ça ferait pas pour des khalis J'ai visé la Lune en fumant sans modération Et j'ai envie d'toucher les nuages quand j'suis posé dans l'avion Des fois dans la vie, tu vois qu'il y a pas d'ami Mais j'sais pas tu dis ""c'est rien on va s'reparler"" Et quand tu lui reparle tu vois qu'c'est pas pareil Et c'est là qu'tu comprends qu'vos chemins vont s'séparer Ils m'dégouttent les gens, ils forment des équipes Et quand ça les oublie une fois il font des phrases de fils de pute Des que j'te parle avec le cœur, je vois que ta tête change Pourtant c'est pour ton bien j'suis quand même pas un étranger En chien, j'suis parti voler dans des endroits perdus Un qui guette, deux qui pète, au pied d'biche ça crée l'ouverture On va faire les billets-ets ",1920
